name        |ra        |dec      |lim_mag1|mag1|type1|type1_flag|type2|type2_flag|orbital_period|orbital_period_flag|alt_name    |lii     |bii     |acc_pos|type3|type3_flag|type4|type4_flag|mag1_flag|lim_mag2|mag2|mag2_flag|lim_mag3|mag3|mag3_flag|lim_mag4|mag4|mag4_flag|interval|interval2|period2   |period2_flag|period3   |period3_flag|period4   |period4_flag|eclipse|sb|spect_type_2|spect_type_1|lim_mass_ratio|mass_ratio|mass_ratio_flag|mass_ratio_error|lim_inclination|inclination|inclination_flag|inclination_error|lim_m1|m1   |m1_flag|m1_error|lim_m2|m2   |m2_flag|m2_error|class                    |
DT Oct      |18 40 52.6|-83 43 10|        |17.1|DN   |          |SU   |          |      0.072600|E                  |NSV 10934   |309.9560|-26.6643|1      |     |          |     |          |B        |        |    |         |        |12.6|         |        |11.4|         |40-60   |         |  0.074800|            |          |            |          |            |       |  |            |            |              |          |               |                |               |           |                |                 |      |     |       |        |      |     |       |        |CV DWARF NOVA SU UMA TYPE|
RR Cha      |13 26 24.2|-82 19 43|        |18.9|Na   |          |SH   |          |      0.140100|                   |N Cha 1935  |304.1654|-19.5407|1      |NS   |          |IP   |?         |         |        |20.1|B        |        | 7.1|B        |        |    |         |        |         |  0.144400|            |  1950.000|            |          |            |1      |  |            |            |              |          |               |                |               |           |                |                 |      |     |       |        |      |     |       |        |                       CV|
AH Men      |06 11 44.1|-81 49 24|        |13.2|NL   |          |SW   |          |      0.127210|                   |H 0616-818  |293.7816|-28.2401|1      |SH   |          |NS   |          |         |        |14.0|         |        |    |         |        |    |         |        |         |  0.138500|            |          |            |          |            |       |1 |            |            |              |          |               |                |               |           |                |                 |      |     |       |        |      |     |       |        |             CV NOVA LIKE|
RX Cha      |10 36 26.3|-80 02 48|&gt;       |22.0|DN   |          |SU   |          |      0.081800|E                  |            |297.1120|-18.7364|1      |     |          |     |          |         |        |    |         |        |    |         |&lt;       |14.0|         |        |430:     |  0.084900|            |          |            |          |            |       |  |            |            |              |          |               |                |               |           |                |                 |      |     |       |        |      |     |       |        |CV DWARF NOVA SU UMA TYPE|
AQ Men      |05 07 53.6|-79 51 24|        |14.8|NL   |          |NS   |          |      0.141471|                   |0511-7955   |292.2629|-31.1504|1      |     |          |     |          |         |        |    |         |        |    |         |        |    |         |        |         |  0.136390|            |          |            |          |            |1      |1 |            |            |              |          |               |                |               |           |                |                 |      |     |       |        |      |     |       |        |                       CV|
ST Cha      |10 47 15.6|-79 28 07|        |12.4|DN   |?         |ZC   |?         |      0.285000|:                  |            |297.2443|-17.9951|1      |NL   |?         |     |          |         |        |15.3|         |        |    |         |        |    |         |        |         |          |            |          |            |          |            |1?     |  |            |            |              |          |               |                |               |           |                |                 |      |     |       |        |      |     |       |        | CV DWARF NOVA Z CAM TYPE|
BE Oct      |00 00 48.8|-77 18 57|        |20.4|DN   |          |SU   |          |      0.074700|E                  |            |306.5044|-39.4592|1      |     |          |     |          |         |        |    |         |        |    |         |        |15.9|         |        |         |  0.077100|            |          |            |          |            |       |  |            |            |              |          |               |                |               |           |                |                 |      |     |       |        |      |     |       |        |CV DWARF NOVA SU UMA TYPE|
TU Men      |04 41 40.7|-76 36 46|        |18.5|DN   |          |SU   |          |      0.117200|                   |            |289.3559|-33.6506|1      |     |          |     |          |         |        |    |         |        |12.5|         |        |11.6|         |37      |600?     |  0.126000|            |          |            |          |            |       |1 |            |            |              |          |               |                |               |           |                |                 |      |     |       |        |      |     |       |        |CV DWARF NOVA SU UMA TYPE|
Z Cha       |08 07 28.2|-76 32 01|        |15.5|DN   |          |SU   |          |      0.074499|                   |            |289.1866|-22.0827|1      |     |          |     |          |         |        |17.3|         |        |12.4|         |        |11.9|         |17      |287      |  0.077300|            |          |            |          |            |2      |2 |M5.5/5      |            |              |      6.70|               |            0.20|               |       81.8|                |              0.1|      |0.840|       |   0.090|      |0.125|       |   0.014|CV DWARF NOVA SU UMA TYPE|
AO Oct      |21 05 08.2|-75 21 02|        |19.8|DN   |          |SU   |          |      0.065350|                   |            |317.7561|-34.4123|1      |WZ   |          |     |          |         |        |20.8|         |        |    |         |        |15.3|         |        |         |  0.067200|            |          |            |          |            |       |  |            |            |              |          |               |                |               |           |                |                 |      |     |       |        |      |     |       |        |CV DWARF NOVA SU UMA TYPE|
J0032-7420  |00 32 55.1|-74 20 20|&gt;       |21.3|N    |          |EG   |          |      0.850000|                   |N SMC 2012  |304.6317|-42.7282|1      |     |          |     |          |I        |        |    |         |&lt;       |10.0|I        |        |    |         |        |         |          |            |          |            |          |            |       |  |            |            |              |          |               |                |               |           |                |                 |      |     |       |        |      |     |       |        |                       CV|
V347 Pav    |18 44 48.3|-74 18 34|        |15.2|NL   |          |AM   |          |      0.062553|                   |J1844-7418  |320.3742|-25.5963|1      |     |          |     |          |         |        |16.8|         |        |17.6|         |        |    |         |        |         |          |            |          |            |          |            |       |  |            |            |              |          |               |                |               |       68.0|                |              4.0|      |     |       |        |      |     |       |        |        CV AM HER (POLAR)|
0035-7230   |00 37 19.8|-72 14 14|        |20.2|SS   |          |EG   |          |      0.172000|                   |            |304.4488|-44.8495|1      |     |          |     |          |         |        |20.6|         |        |    |         |        |    |         |        |         |          |            |          |            |          |            |       |1 |            |            |&lt;             |      3.00|               |                |               |       35.0|:               |             15.0|      |     |       |        |      |     |       |        |                       CV|
NGC 104-W120|00 24 10.8|-72 06 20|        |22.7|CV   |          |     |          |      0.220000|:                  |            |305.8805|-44.8663|1      |     |          |     |          |         |        |    |         |        |    |         |        |    |         |        |         |          |            |          |            |          |            |       |  |            |            |              |          |               |                |               |           |                |                 |      |     |       |        |      |     |       |        |                       CV|
NGC 104-W21 |00 24 07.6|-72 05 27|        |20.9|CV   |          |     |          |      0.072230|                   |            |305.8893|-44.8803|1      |     |          |     |          |         |        |    |         |        |    |         |        |    |         |        |         |          |            |          |            |          |            |       |  |            |            |              |          |               |                |               |           |                |                 |      |     |       |        |      |     |       |        |                       CV|
NGC 104-W71 |00 24 10.6|-72 05 16|        |20.9|CV   |?         |     |          |      0.098770|                   |            |305.8846|-44.8839|1      |     |          |     |          |         |        |    |         |        |    |         |        |    |         |        |         |          |            |          |            |          |            |       |  |            |            |              |          |               |                |               |           |                |                 |      |     |       |        |      |     |       |        |                       CV|
NGC 104-W15 |00 24 08.3|-72 05 00|        |22.5|CV   |          |     |          |      0.176400|                   |            |305.8897|-44.8878|1      |     |          |     |          |         |        |    |         |        |    |         |        |    |         |        |         |          |            |          |            |          |            |1      |  |            |            |              |          |               |                |               |           |                |                 |      |     |       |        |      |     |       |        |                       CV|
NGC 104-CV1 |00 24 04.3|-72 04 58|        |19.9|NL   |          |IP   |?         |      0.150000|:                  |V1 (47 Tuc) |305.8969|-44.8876|1      |     |          |     |          |         |        |21.0|         |        |    |         |        |    |         |        |         |          |            |   218.240|:           |          |            |       |  |            |            |              |          |               |                |               |           |                |                 |      |     |       |        |      |     |       |        |    CV INTERMEDIATE POLAR|
AKO 9       |00 24 04.8|-72 04 55|        |17.3|DN   |          |     |          |      1.109099|                   |            |305.8962|-44.8885|1      |     |          |     |          |         |        |17.7|         |        |    |         |        |    |         |        |         |          |            |          |            |          |            |1      |  |            |            |              |          |               |                |               |           |                |                 |      |     |       |        |      |0.900|       |        |            CV DWARF NOVA|
NGC 104-W34 |00 24 05.1|-72 04 47|        |22.8|CV   |?         |     |          |      0.067670|                   |            |305.8962|-44.8908|1      |     |          |     |          |         |        |    |         |        |    |         |        |    |         |        |         |          |            |          |            |          |            |       |  |            |            |              |          |               |                |               |           |                |                 |      |     |       |        |      |     |       |        |                       CV|
NGC 104-CV3 |00 24 06.2|-72 04 43|        |23.1|NL   |?         |AM   |?         |      0.194490|                   |V3 (47 Tuc) |305.8944|-44.8921|1      |     |          |     |          |         |        |    |         |        |    |         |        |    |         |        |         |          |            |          |            |          |            |       |  |            |            |              |          |               |                |               |           |                |                 |      |     |       |        |      |     |       |        |        CV AM HER (POLAR)|
NGC 104-W2  |00 24 15.6|-72 04 36|        |21.5|CV   |          |     |          |      0.262000|                   |            |305.8780|-44.8958|1      |     |          |     |          |         |        |    |         |        |    |         |        |    |         |        |         |          |            |          |            |          |            |       |  |            |            |              |          |               |                |               |           |                |                 |      |     |       |        |      |     |       |        |                       CV|
NGC 104-W1  |00 24 16.7|-72 04 27|        |20.1|CV   |          |     |          |      0.240500|                   |            |305.8766|-44.8985|1      |     |          |     |          |         |        |20.4|         |        |    |         |        |    |         |        |         |          |            |          |            |          |            |       |  |            |            |              |          |               |                |               |           |                |                 |      |     |       |        |      |     |       |        |                       CV|
NGC 104-W8  |00 24 10.5|-72 04 26|        |21.7|CV   |          |     |          |      0.119270|                   |            |305.8877|-44.8976|1      |     |          |     |          |         |        |    |         |        |    |         |        |    |         |        |         |          |            |          |            |          |            |1      |  |            |            |              |          |               |                |               |           |                |                 |      |     |       |        |      |     |       |        |                       CV|
AD Men      |06 04 30.9|-71 25 23|        |15.5|DN   |          |SU   |          |      0.092200|                   |            |281.9671|-29.3321|1      |     |          |     |          |B        |        |16.6|B        |        |    |         |        |    |         |        |         |  0.096600|            |          |            |          |            |       |1 |            |            |              |          |               |                |               |           |                |                 |      |     |       |        |      |     |       |        |CV DWARF NOVA SU UMA TYPE|
VW Hyi      |04 09 11.3|-71 17 41|        |13.4|DN   |          |SU   |          |      0.074271|                   |            |284.8881|-38.1338|1      |     |          |     |          |         |        |14.0|         |        | 9.5|         |        | 8.5|         |28      |183      |  0.077000|            |          |            |          |            |       |1 |M4/5        |            |              |      6.80|               |            0.20|               |           |                |                 |      |0.670|       |   0.220|      |0.110|       |   0.030|CV DWARF NOVA SU UMA TYPE|
CAL 87      |05 46 48.3|-71 09 24|        |18.9|SS   |          |     |          |      0.442678|                   |LHG 87      |281.7681|-30.7665|8      |     |          |     |          |         |        |20.9|         |        |    |         |        |    |         |        |         |          |            |          |            |          |            |1      |  |            |            |              |          |               |                |               |           |                |                 |      |     |       |        |      |     |       |        |         SUPERSOFT SOURCE|
J0537-7034  |05 37 44.6|-70 33 47|        |19.7|SS   |          |     |          |      0.147000|                   |            |281.1811|-31.5737|1      |     |          |     |          |         |        |    |         |        |    |         |        |    |         |        |         |          |            |          |            |          |            |       |1 |            |            |              |          |               |                |               |       57.5|                |             12.5|      |0.600|       |   0.200|      |0.350|       |   0.020|         SUPERSOFT SOURCE|
OY Car      |10 06 22.4|-70 14 05|        |16.7|DN   |          |SU   |          |      0.063121|                   |            |289.7656|-11.7065|1      |     |          |     |          |         |        |18.0|         |        |12.4|         |        |11.4|         |14      |325      |  0.064600|            |          |            |          |            |2      |1 |M8-9/5      |            |              |      9.80|               |            0.30|               |       83.3|                |              0.2|      |0.640|       |   0.040|      |0.086|       |   0.005|CV DWARF NOVA SU UMA TYPE|
N LMC 1995  |05 26 50.3|-70 01 24|        |19.6|N    |          |EG   |          |      0.219000|:                  |            |280.7182|-32.5648|1      |     |          |     |          |B        |        |    |         |        |10.7|B        |        |    |         |        |         |          |            |          |            |          |            |       |  |            |            |              |          |               |                |               |           |                |                 |      |     |       |        |      |     |       |        |                       CV|
J0527-6954  |05 27 48.9|-69 54 09|        |17.9|SS   |          |     |          |      0.392600|                   |            |280.5601|-32.5030|5      |     |          |     |          |B        |        |    |         |        |    |         |        |    |         |        |         |          |            |          |            |          |            |       |  |B5e/5       |            |              |          |               |                |               |           |                |                 |      |     |       |        |      |     |       |        |         SUPERSOFT SOURCE|
J0513-6951  |05 13 50.8|-69 51 48|        |16.0|SS   |          |     |          |      0.762956|                   |            |280.7968|-33.6881|1      |     |          |     |          |         |        |17.5|         |        |    |         |        |    |         |        |         |          |            |          |            |          |            |       |2 |            |            |              |          |               |                |               |           |                |                 |      |     |       |        |      |     |       |        |         SUPERSOFT SOURCE|
GS Pav      |20 08 07.6|-69 48 58|        |14.9|NL   |          |VY   |          |      0.155270|                   |            |325.5125|-31.9263|1      |     |          |     |          |         |        |17.4|         |        |17.1|         |        |19.9|         |        |         |          |            |          |            |          |            |1      |  |            |            |              |          |               |                |               |           |                |                 |      |     |       |        |      |     |       |        |             CV NOVA LIKE|
DD Cir      |14 23 23.5|-69 08 45|        |20.0|Na   |          |IP   |?         |      0.097460|                   |N Cir 1999  |310.9974| -7.7266|1      |     |          |     |          |         |&gt;       |21.0|         |        | 7.5|         |        |    |         |        |         |          |            |   670.000|:           |          |            |2      |  |            |            |              |          |               |                |               |       79.0|                |                 |      |     |       |        |      |     |       |        |    CV INTERMEDIATE POLAR|
J0006-6900  |00 06 33.4|-69 00 34|        |15.0|DN   |?         |     |          |      0.079000|                   |            |308.8650|-47.5985|1      |     |          |     |          |         |        |15.9|         |        |    |         |        |    |         |        |         |          |            |          |            |          |            |       |1 |            |            |              |          |               |                |               |           |                |                 |      |     |       |        |      |     |       |        |            CV DWARF NOVA|
CS Ind      |21 59 54.6|-68 50 36|        |17.8|DN   |          |     |          |      0.110000|                   |NSV 13983   |322.0281|-41.3472|1      |     |          |     |          |B        |        |    |         |        |11.0|p        |        |    |         |        |         |          |            |          |            |          |            |       |1 |            |            |              |          |               |                |               |           |                |                 |      |     |       |        |      |     |       |        |            CV DWARF NOVA|
CW Hyi      |02 30 51.1|-68 42 05|        |16.0|NL   |          |AM   |          |      0.126250|                   |            |290.2589|-45.9036|1      |     |          |     |          |         |        |18.0|         |        |    |         |        |    |         |        |         |          |            |          |            |          |            |       |  |            |            |              |          |               |                |               |           |                |                 |      |     |       |        |      |     |       |        |        CV AM HER (POLAR)|
QU Car      |11 05 42.8|-68 37 58|        |11.1|NL   |          |     |          |      0.454000|:                  |            |293.5125| -7.7167|1      |     |          |     |          |         |        |11.5|         |        |    |         |        |    |         |        |         |          |            |          |            |          |            |       |1 |            |            |              |          |               |                |&lt;              |       60.0|                |                 |      |     |       |        |      |     |       |        |             CV NOVA LIKE|
BC Dor      |05 46 15.0|-68 35 24|        |18.4|DN   |          |NS   |          |      0.066800|E                  |CAL 86      |278.7936|-31.0432|1      |     |          |     |          |         |        |19.4|         |        |13.5|         |        |    |         |        |         |  0.068500|            |          |            |          |            |       |1 |            |            |              |          |               |                |               |           |                |                 |      |     |       |        |      |     |       |        |                       CV|
CAL 83      |05 43 34.2|-68 22 22|        |16.2|SS   |          |     |          |      1.047529|                   |LHG 83      |278.5640|-31.3058|1      |     |          |     |          |         |        |17.8|         |        |    |         |        |    |         |        |         |          |            |    66.900|:           |          |            |       |1 |            |            |              |          |               |                |               |           |                |                 |      |1.300|       |   0.300|      |     |       |        |         SUPERSOFT SOURCE|
BZ Cir      |14 54 15.2|-68 16 19|        |18.2|DN   |          |SU   |          |      0.078400|:                  |1449-6804   |313.9380| -8.0651|1      |     |          |     |          |         |        |    |         |        |13.6|R        |        |    |         |        |         |  0.076600|            |          |            |          |            |       |  |            |            |              |          |               |                |               |           |                |                 |      |     |       |        |      |     |       |        |CV DWARF NOVA SU UMA TYPE|
J0439-6809  |04 39 49.7|-68 09 02|        |21.6|SS   |          |     |          |      0.140300|:                  |            |279.8683|-37.0961|1      |     |          |     |          |         |        |    |         |        |    |         |        |    |         |        |         |          |            |          |            |          |            |       |  |            |            |              |          |               |                |               |           |                |                 |      |     |       |        |      |     |       |        |         SUPERSOFT SOURCE|
BL Hyi      |01 41 00.3|-67 53 28|        |14.3|NL   |          |AM   |          |      0.078915|                   |H 0139-68   |295.9228|-48.5570|1      |     |          |     |          |         |        |16.4|         |        |17.0|         |        |17.6|         |        |         |          |            |          |            |          |            |       |1 |M5/5        |            |              |          |               |                |               |       70.0|                |             10.0|      |     |       |        |      |     |       |        |        CV AM HER (POLAR)|
J2142-6748  |21 42 17.3|-67 48 01|        |17.4|DN   |?         |     |          |      0.136710|                   |            |324.3665|-40.5629|1      |     |          |     |          |B        |        |    |         |        |13.9|         |        |    |         |        |         |          |            |          |            |          |            |       |  |            |            |              |          |               |                |               |           |                |                 |      |     |       |        |      |     |       |        |            CV DWARF NOVA|
GQ Mus      |11 52 02.5|-67 12 20|        |17.6|Na   |          |AM   |?         |      0.059365|                   |N Mus 1983  |297.2120| -4.9958|1      |     |          |     |          |         |        |    |         |        | 7.2|         |        |    |         |        |         |          |            |          |            |          |            |       |1 |            |            |              |          |               |                |               |           |                |                 |      |     |       |        |      |     |       |        |        CV AM HER (POLAR)|
EF Tuc      |00 01 55.0|-67 07 44|&gt;       |15.0|DN   |          |     |          |      0.150000|                   |            |310.2717|-49.2876|1      |     |          |     |          |         |        |    |         |        |12.7|         |        |    |         |        |         |          |            |          |            |          |            |       |  |            |            |              |          |               |                |               |           |                |                 |      |     |       |        |      |     |       |        |            CV DWARF NOVA|
J1509-6649  |15 09 26.0|-66 49 23|        |14.5|NL   |          |IP   |          |      0.245400|                   |            |315.9253| -7.4990|1      |     |          |     |          |         |        |15.0|         |        |    |         |        |    |         |        |         |          |            |   809.420|            |   842.400|            |       |1 |            |            |              |          |               |                |               |           |                |                 |      |     |       |        |      |     |       |        |    CV INTERMEDIATE POLAR|
N LMC 2009a |05 40 44.2|-66 40 12|        |    |Nr   |?         |     |          |      1.190000|:                  |            |276.5998|-31.7165|1      |     |          |     |          |         |        |    |         |        |10.6|         |        |    |         |        |         |          |            |          |            |          |            |       |  |            |            |              |          |               |                |               |           |                |                 |      |     |       |        |      |     |       |        |        CV RECURRENT NOVA|
RX Vol      |08 39 32.3|-66 17 39|&gt;       |22.0|DN   |          |SU   |          |      0.060300|E                  |            |281.1930|-14.7692|1      |     |          |     |          |         |        |    |         |        |    |         |        |14.7|         |        |         |  0.061400|            |          |            |          |            |       |  |            |            |              |          |               |                |               |           |                |                 |      |     |       |        |      |     |       |        |CV DWARF NOVA SU UMA TYPE|
CV Hyi      |01 32 42.0|-65 54 32|        |19.7|NL   |          |AM   |          |      0.054049|                   |J0132-6554  |296.3072|-50.6853|1      |     |          |     |          |         |        |    |         |        |20.6|         |        |    |         |        |         |          |            |          |            |          |            |       |  |            |            |              |          |               |                |               |           |                |                 |      |     |       |        |      |     |       |        |        CV AM HER (POLAR)|
LZ Mus      |11 56 09.0|-65 34 21|&gt;       |18.0|N    |          |     |          |      0.169300|:                  |N Mus 1998  |297.2525| -3.3122|1      |     |          |     |          |         |        |    |         |        | 8.5|         |        |    |         |        |         |          |            |          |            |          |            |       |  |            |            |              |          |               |                |               |           |                |                 |      |     |       |        |      |     |       |        |        CV CLASSICAL NOVA|
V877 Ara    |17 16 53.9|-65 32 52|        |20.3|DN   |          |SU   |          |      0.080900|E                  |            |326.1070|-15.5092|1      |     |          |     |          |R        |        |    |         |        |14.2|         |        |13.5|         |        |330:     |  0.084100|            |          |            |          |            |       |  |            |            |              |          |               |                |               |           |                |                 |      |     |       |        |      |     |       |        |CV DWARF NOVA SU UMA TYPE|
V349 Pav    |20 08 55.8|-65 27 43|        |18.0|NL   |          |AM   |          |      0.110900|                   |DR V211b    |330.6144|-32.5073|1      |     |          |     |          |         |        |    |         |        |19.5|         |        |    |         |        |         |          |            |          |            |          |            |       |  |            |            |              |          |               |                |               |           |                |                 |      |     |       |        |      |     |       |        |        CV AM HER (POLAR)|
J1413-6520  |14 13 12.3|-65 20 13|&gt;       |24.3|NL   |?         |AM   |?         |      0.304000|:                  |            |311.3306| -3.8072|1      |UL   |?         |     |          |R        |        |    |         |        |    |         |        |    |         |        |         |          |            |          |            |          |            |       |  |            |            |              |          |               |                |               |           |                |                 |      |     |       |        |      |     |       |        |        CV AM HER (POLAR)|
J1324-6512  |13 24 01.6|-65 12 20|        |19.8|DN   |          |SU   |          |      0.081000|E                  |            |306.3424| -2.5498|1      |     |          |     |          |I        |        |    |         |        |18.6|I        |        |18.2|I        |5       |81       |  0.083500|            |          |            |          |            |       |  |            |            |              |          |               |                |               |           |                |                 |      |     |       |        |      |     |       |        |CV DWARF NOVA SU UMA TYPE|
EK TrA      |15 14 01.0|-65 05 35|        |16.7|DN   |          |SU   |          |      0.062880|                   |            |317.2258| -6.2566|3      |     |          |     |          |         |        |    |         |        |11.2|         |        |12.1|         |167     |485      |  0.064800|            |          |            |          |            |       |1 |            |            |              |      5.00|:              |            0.80|               |       58.0|:               |              7.0|      |0.460|:      |   0.100|      |0.090|:      |   0.020|CV DWARF NOVA SU UMA TYPE|
J1725-6438  |17 25 54.8|-64 38 39|        |18.0|NL   |          |AM   |?         |      0.065734|                   |            |327.4213|-15.8494|1      |     |          |     |          |         |&gt;       |22.0|         |        |    |         |        |    |         |        |         |          |            |          |            |          |            |1      |  |            |            |              |          |               |                |               |           |                |                 |      |     |       |        |      |     |       |        |        CV AM HER (POLAR)|
AP Cru      |12 31 20.6|-64 26 25|        |17.7|N    |          |IP   |?         |      0.213000|                   |N Cru 1935  |300.7658| -1.6531|1      |     |          |     |          |         |        |18.7|         |        |10.7|B        |        |    |         |        |         |          |            |  1837.000|            |          |            |       |  |K7          |            |              |          |               |                |               |           |                |                 |      |     |       |        |      |     |       |        |    CV INTERMEDIATE POLAR|
2114-6437   |21 18 49.9|-64 25 13|        |14.9|CV   |          |     |          |      0.111800|                   |            |329.7085|-39.9214|1      |     |          |     |          |         |        |    |         |        |    |         |        |    |         |        |         |          |            |          |            |          |            |1      |  |            |            |              |          |               |                |               |           |                |                 |      |     |       |        |      |     |       |        |                       CV|
V1039 Cen   |13 55 41.2|-64 15 57|        |20.8|Na   |          |IP   |?         |      0.247000|                   |N Cen 2001  |309.8371| -2.2589|1      |     |          |     |          |B        |        |    |         |        | 9.1|         |        |    |         |        |         |          |            |   719.000|            |          |            |       |  |            |            |              |          |               |                |               |           |                |                 |      |     |       |        |      |     |       |        |    CV INTERMEDIATE POLAR|
V1033 Cen   |11 41 22.9|-64 10 14|        |16.5|NL   |          |AM   |          |      0.131518|                   |J1141-6410  |295.3915| -2.3293|1      |     |          |     |          |         |        |    |         |        |20.0|         |        |    |         |        |         |          |            |          |            |          |            |       |1 |            |            |              |          |               |                |               |           |                |                 |      |     |       |        |      |     |       |        |        CV AM HER (POLAR)|
BY Cir      |14 44 53.6|-63 53 55|        |17.6|Nb   |          |     |          |      0.281600|                   |N Cir 1995  |315.0223| -3.7228|1      |     |          |     |          |         |        |18.8|         |        | 7.2|         |        |    |         |        |         |          |            |          |            |          |            |1      |  |            |            |              |          |               |                |               |           |                |                 |      |     |       |        |      |     |       |        |   CV CLASSICAL NOVA SLOW|
J1036-6337  |10 36 19.8|-63 37 33|        |21.6|DN   |          |SU   |          |      0.060000|E                  |            |288.5865| -4.5825|1      |WZ   |          |     |          |I        |        |    |         |        |19.2|I        |        |17.8|I        |        |         |  0.060700|            |          |            |          |            |       |  |            |            |              |          |               |                |               |           |                |                 |      |     |       |        |      |     |       |        |CV DWARF NOVA SU UMA TYPE|
RU Hor      |02 46 07.5|-63 35 47|&gt;       |17.5|DN   |          |SU   |          |      0.069200|E                  |            |283.9205|-49.0830|1      |     |          |     |          |B        |        |    |         |        |    |         |        |12.8|         |        |         |  0.071000|            |          |            |          |            |       |  |            |            |              |          |               |                |               |           |                |                 |      |     |       |        |      |     |       |        |CV DWARF NOVA SU UMA TYPE|
WX Cen      |13 12 52.5|-63 23 45|        |13.4|NL   |?         |SS   |?         |      0.416959|                   |            |305.3293| -0.6239|1      |     |          |     |          |         |        |14.2|         |        |    |         |        |    |         |        |         |          |            |          |            |          |            |       |2 |            |WN3         |              |          |               |                |               |           |                |                 |      |     |       |        |      |     |       |        |         SUPERSOFT SOURCE|
WX Hyi      |02 09 50.7|-63 18 40|        |14.7|DN   |          |SU   |          |      0.074813|                   |            |288.8848|-51.6256|1      |     |          |     |          |         |        |14.9|         |        |12.2|         |        |11.3|         |11      |180      |  0.077400|            |          |            |          |            |       |1 |            |            |              |      5.50|               |            1.50|               |       40.0|                |             10.0|      |0.900|       |   0.300|      |0.160|       |   0.050|CV DWARF NOVA SU UMA TYPE|
J1039-6255  |10 39 47.8|-62 55 29|        |19.0|DN   |          |UG   |          |      0.269960|                   |            |288.5822| -3.7804|1      |     |          |     |          |I        |        |19.6|I        |        |17.7|I        |        |    |         |        |         |          |            |          |            |          |            |       |  |            |            |              |          |               |                |               |           |                |                 |      |     |       |        |      |     |       |        | CV DWARF NOVA U GEM TYPE|
J1037-6249  |10 37 28.4|-62 49 29|        |20.2|DN   |          |UG   |          |      0.177939|                   |            |288.3017| -3.8225|1      |     |          |     |          |I        |        |22.0|I        |        |18.5|I        |        |    |         |11      |         |          |            |          |            |          |            |1      |  |            |            |              |          |               |                |               |           |                |                 |      |     |       |        |      |     |       |        | CV DWARF NOVA U GEM TYPE|
J1039-6245  |10 39 57.0|-62 45 18|        |18.0|DN   |          |SU   |          |      0.078218|:                  |            |288.5152| -3.6234|1      |     |          |     |          |I        |        |    |         |        |17.3|I        |        |17.2|I        |        |         |  0.080800|            |          |            |          |            |       |  |            |            |              |          |               |                |               |           |                |                 |      |     |       |        |      |     |       |        |CV DWARF NOVA SU UMA TYPE|
RR Pic      |06 35 36.1|-62 38 24|        |12.0|Nb   |          |SW   |          |      0.145025|                   |N Pic 1925  |272.3549|-25.6718|1      |SH   |          |     |          |         |        |12.5|         |        | 1.0|         |        |    |         |        |         |  0.157700|            |          |            |          |            |1?     |1 |            |            |              |          |               |                |               |       65.0|:               |                 |      |0.950|:      |        |      |0.400|:      |        |             CV NOVA LIKE|
J1151-6237  |11 51 13.0|-62 37 29|        |15.5|N?   |          |SS   |?         |      0.360400|                   |            |296.0719| -0.5578|1      |     |          |     |          |B        |        |    |         |        |10.4|         |        |    |         |        |         |          |            |          |            |          |            |       |  |            |            |              |          |               |                |               |           |                |                 |      |     |       |        |      |     |       |        |         SUPERSOFT SOURCE|
V344 Pav    |19 16 09.7|-62 35 53|        |19.4|DN   |          |SU   |          |      0.077000|E                  |            |333.7325|-26.6746|1      |     |          |     |          |         |        |    |         |        |    |         |        |14.3|         |        |         |  0.079600|            |          |            |          |            |       |  |            |            |              |          |               |                |               |           |                |                 |      |     |       |        |      |     |       |        |CV DWARF NOVA SU UMA TYPE|
J1040-6233  |10 40 14.3|-62 33 18|        |22.1|DN   |          |SU   |          |      0.080919|                   |            |288.4473| -3.4323|1      |     |          |     |          |I        |        |    |         |        |18.2|I        |        |17.8|I        |        |         |  0.080000|            |          |            |          |            |       |  |            |            |              |          |               |                |               |           |                |                 |      |     |       |        |      |     |       |        |CV DWARF NOVA SU UMA TYPE|
