name                 |optical_name|ra         |dec        |porb   |fx_limit|fx      |fx_max |xray_type|lii      |bii      |position_type|ref_optical|vmag_limit|vmag |vmag_min|vmag_flag|bv_color|bv_color_flag|bv_color_max|ub_color|reddening|reddening_max|reddening_flag|ref_photometry |jmag  |hmag_limit|hmag  |kmag_limit|kmag  |fx_range      |ref_fx     |porb_flag|pulse_per |pulse_per_flag|ref_periods|spect_type  |alt_name_1           |alt_name_1_flag|alt_name_2  |alt_name_3|class                                  |
GS 1839-04           |            |18 41 48.00|-04 27 00.0|       |        |    2.50|       |P, T     | 27.87383|  0.11023|X            |           |          |     |        |         |        |             |            |        |         |             |              |               |      |          |      |          |      |              |399        |         |   81.1000|              |399        |            |                     |               |            |          |                     HMXRB X-RAY PULSAR|
IGR J18483-0311      |            |18 48 18.00|-03 11 00.0|       |        |   22.00|       |T        | 29.74117| -0.75374|X            |           |          |     |        |         |        |             |            |        |         |             |              |               |      |          |      |          |      |(15--40 keV)  |91         |         |          |              |           |            |                     |               |            |          |                                  HMXRB|
GS 1855-02           |            |18 58 00.00|-02 44 00.0|       |        |    2.00|       |T        | 31.24518| -2.70507|X            |132        |          |     |        |         |        |             |            |        |         |             |              |               |      |          |      |          |      |              |399        |         |          |              |           |            |                     |               |            |          |                                  HMXRB|
XTE J1855-026        |            |18 55 31.30|-02 36 24.0|  6.067|        |    6.00|       |P, T, E  | 31.07627| -2.09629|X            |132        |          |     |        |         |        |             |            |        |         |             |              |               |      |          |      |          |      |              |139        |         |  361.0000|              |139        |            |                     |               |            |          |           HMXRB X-RAY PULSAR ECLIPSING|
2S 1845-024          |            |18 48 18.00|-02 25 12.0|241.000|        |    1.00|   44.0|P, T     | 30.42054| -0.40562|X            |247        |          |     |        |         |        |             |            |        |         |             |              |               |      |          |      |          |      |              |64,399     |         |   94.8000|              |859,399    |GS 1843-02  |                     |               |            |          |                     HMXRB X-RAY PULSAR|
GS 1843+009          |star        |18 45 36.80|+00 51 48.3|       |        |   33.00|       |P, T, C  | 33.03653|  1.68960|O            |351        |          |20.20|        |         |        |             |            |        |     2.30|          2.9|              |351            |      |          |      |          |      |              |399        |         |   29.5000|              |399        |B0-B2IV-Ve  |                     |               |            |          |             HMXRB BE STAR X-RAY PULSAR|
XTE J1901+014        |star        |19 01 39.90|+01 26 39.2|       |        |  500.00|       |T        | 35.38393| -1.61576|O            |612        |          |18.72|        |         |    2.44|             |            |        |         |             |              |612            |      |          |      |          |      |(2--12 keV)   |644        |         |          |              |           |            |1RXS J190141.0+012618|               |            |          |                                  HMXRB|
4U 1901+03           |            |19 03 37.10|+03 11 31.0| 22.580|&lt;       |    2.00|  333.0|P, T     | 37.16180| -1.25000|X            |224        |          |     |        |         |        |             |            |        |         |             |              |               |      |          |      |          |      |              |123,224    |         |    2.7630|              |224        |            |                     |               |            |          |                     HMXRB X-RAY PULSAR|
XTE J1858+034        |star?       |18 58 36.00|+03 26 09.0|       |        |   25.00|       |P, T     | 36.80574| -0.02467|O            |640        |          |18.00|        |         |    1.60|             |            |        |         |             |              |640            |      |          |      |          |      |              |643        |         |  221.0000|              |748        |            |                     |               |            |          |                     HMXRB X-RAY PULSAR|
3A 1909+048          |SS 433      |19 11 49.60|+04 58 58.0| 13.100|        |    2.00|   10.0|E, R     | 39.69421| -2.24470|O,R          |425        |          |14.20|        |         |    2.10|             |            |    0.60|     2.60|             |              |466,546,811    | 9.398|          | 8.739|          | 8.163|              |64         |         |          |              |146        |pec         |                     |               |V1343 Aql   |          |                HMXRB BE STAR ECLIPSING|
