name        |ra        |dec      |lim_mag1|mag1|type1|orbital_period|orbital_period_flag|lim_lx_lopt|lx_lopt|period2  |period2_flag|period3    |period3_flag|period4|eclipse|lim_mass_ratio|mass_ratio|lim_inclination|inclination|inclination_flag|inclination_error|m1   |m1_flag|m1_error|lim_m2|m2    |m2_flag|m2_error|class                 |
1758-2544   |18 01 12.4|-25 44 36|        |22.6|XT   |     18.500000|                   |           |       |         |            |           |            |       |       |              |          |               |           |                |                 |     |       |        |      |      |       |        |      LMXRB BLACK HOLE|
V4641 Sgr   |18 19 21.6|-25 24 25|        |13.0|XT   |      2.817300|                   |           |       |         |            |           |            |       |       |              |      2.30|               |       75.0|                |              2.0| 7.10|       |    0.30|      | 3.100|       |   0.200|      LMXRB BLACK HOLE|
J1756-2506  |17 56 57.2|-25 06 28|        |19.7|XT   |      0.037990|                   |           |       |         |            |  0.0054930|            |       |       |              |          |               |           |                |                 |     |       |        |&gt;     | 0.007|       |        |    LMXRB X-RAY PULSAR|
V2107 Oph   |17 08 14.5|-25 05 30|        |21.3|XT   |      0.521000|                   |           |       |         |            |           |            |       |       |&gt;             |     19.00|               |       70.0|:               |                 | 6.65|       |    0.25|      | 0.450|       |   0.150|      LMXRB BLACK HOLE|
V2293 Oph   |17 19 36.8|-25 01 03|        |21.0|XT   |              |                   |           |       | 0.612700|:           |           |            |       |       |              |          |               |           |                |                 |     |       |        |      |      |       |        |      LMXRB BLACK HOLE|
J1900-2455  |19 00 08.7|-24 55 14|        |    |XT   |      0.057815|                   |           |       |         |            |  0.0026500|            |       |       |              |          |               |           |                |                 |     |       |        |      |      |       |        |    LMXRB X-RAY PULSAR|
J1824-2452  |18 24 32.5|-24 52 08|        |20.8|XT   |      0.459408|                   |           |       |         |            |  0.0039300|            |       |1      |              |          |               |           |                |                 | 1.35|:      |        |      | 0.200|:      |        |         LMXRB BURSTER|
J1748-2446  |17 48 04.8|-24 46 49|        |24.3|XT   |      0.886439|                   |           |       |         |            |  0.0905400|            |       |       |              |          |               |           |                |                 |     |       |        |      |      |       |        |         LMXRB BURSTER|
V4634 Sgr   |18 29 28.2|-23 47 49|        |17.5|XB   |      0.093725|                   |           |       |         |            |  0.0016360|            |       |       |              |          |               |       62.5|                |              0.5|     |       |        |      |      |       |        |         LMXRB BURSTER|
J1748-2021#1|17 48 52.2|-20 21 32|        |    |XT   |      0.365219|                   |           |       |         |            |  0.0022600|            |       |       |              |          |               |           |                |                 |     |       |        |&gt;     | 0.100|       |        |    LMXRB X-RAY PULSAR|
J1748-2021#2|17 48 52.8|-20 21 24|&gt;       |22.0|XT   |      0.039800|                   |           |       |         |            |  0.0048570|            |       |       |              |          |               |           |                |                 |     |       |        |&gt;     | 0.007|       |        |    LMXRB X-RAY PULSAR|
V5512 Sgr   |18 14 31.1|-17 09 26|        |11.7|AS   |     24.527400|                   |           |       |         |            |           |            |       |D      |              |          |               |           |                |                 |     |       |        |      |      |       |        |         LMXRB BURSTER|
V2216 Oph   |17 31 44.1|-16 57 41|        |16.8|AS   |      0.174827|                   |           |  400.0|         |            |           |            |       |       |              |          |               |           |                |                 |     |       |        |      |      |       |        |                 LMXRB|
V818 Sco    |16 19 55.0|-15 38 25|        |12.1|ZS   |      0.787311|                   |           |  500.0|         |            |           |            |       |       |              |          |               |           |                |                 |     |       |        |      |      |       |        |                 LMXRB|
J1659-1515  |16 59 01.7|-15 15 29|        |23.7|XT   |      0.100580|                   |           |       |         |            |           |            |       |D      |              |          |               |           |                |                 |     |       |        |      |      |       |        |      LMXRB BLACK HOLE|
1813-1403   |18 16 01.4|-14 02 11|        |18.5|ZS   |      0.813000|:                  |           | 3000.0|         |            |           |            |       |       |              |          |               |           |                |                 |     |       |        |      |      |       |        |         LMXRB BURSTER|
J1357-0932  |13 57 16.8|-09 32 39|        |22.8|XT   |      0.120000|:                  |           |       |         |            |           |            |       |       |&gt;             |     16.00|               |           |                |                 | 3.00|       |        |      |      |       |        |      LMXRB BLACK HOLE|
1850-0846   |18 53 04.8|-08 42 20|        |20.3|GC   |      0.014270|                   |           |       |         |            |           |            |       |       |              |          |               |           |                |                 |     |       |        |      |      |       |        |LMXRB GLOBULAR CLUSTER|
J1910-0547  |19 10 22.8|-05 47 56|        |    |XB   |      0.093000|:                  |           |       |         |            |           |            |       |       |              |          |               |           |                |                 |     |       |        |      |      |       |        |         LMXRB BURSTER|
